Ls TT EB_gmv TEB_gmv
226 3.086775e-16 5.348535e-17 4.296937e-17
227 3.034926e-16 5.261631e-17 4.228214e-17
228 2.984410e-16 5.176550e-17 4.160931e-17
229 2.934658e-16 5.093245e-17 4.095037e-17
230 2.885736e-16 5.011668e-17 4.030486e-17
231 2.838471e-16 4.931772e-17 3.967240e-17
232 2.791708e-16 4.853516e-17 3.905268e-17
233 2.745873e-16 4.776860e-17 3.844547e-17
234 2.701307e-16 4.701772e-17 3.785061e-17
235 2.657800e-16 4.628215e-17 3.726782e-17
236 2.614736e-16 4.556143e-17 3.669662e-17
237 2.572600e-16 4.485514e-17 3.613659e-17
238 2.531614e-16 4.416297e-17 3.558763e-17
239 2.491052e-16 4.348464e-17 3.504975e-17
240 2.451683e-16 4.281982e-17 3.452264e-17
241 2.412924e-16 4.216811e-17 3.400572e-17
242 2.374868e-16 4.152913e-17 3.349853e-17
243 2.337713e-16 4.090263e-17 3.300103e-17
244 2.301241e-16 4.028837e-17 3.251322e-17
245 2.265446e-16 3.968608e-17 3.203497e-17
246 2.230551e-16 3.909547e-17 3.156600e-17
247 2.196242e-16 3.851624e-17 3.110600e-17
248 2.162733e-16 3.794809e-17 3.065459e-17
249 2.129629e-16 3.739071e-17 3.021141e-17
250 2.097077e-16 3.684388e-17 2.977634e-17
251 2.065375e-16 3.630740e-17 2.934948e-17
252 2.034262e-16 3.578108e-17 2.893083e-17
253 2.003597e-16 3.526466e-17 2.852010e-17
254 1.973788e-16 3.475786e-17 2.811691e-17
255 1.944215e-16 3.426045e-17 2.772099e-17
256 1.915192e-16 3.377224e-17 2.733221e-17
257 1.887175e-16 3.329304e-17 2.695043e-17
258 1.859223e-16 3.282264e-17 2.657555e-17
259 1.831761e-16 3.236084e-17 2.620749e-17
260 1.805140e-16 3.190747e-17 2.584611e-17
261 1.778962e-16 3.146232e-17 2.549121e-17
262 1.753008e-16 3.102521e-17 2.514260e-17
263 1.727790e-16 3.059596e-17 2.480010e-17
264 1.702841e-16 3.017438e-17 2.446358e-17
265 1.678322e-16 2.976029e-17 2.413290e-17
266 1.654403e-16 2.935356e-17 2.380802e-17
267 1.630871e-16 2.895405e-17 2.348892e-17
268 1.607646e-16 2.856162e-17 2.317552e-17
269 1.584975e-16 2.817610e-17 2.286760e-17
270 1.562710e-16 2.779729e-17 2.256491e-17
271 1.540693e-16 2.742504e-17 2.226730e-17
272 1.519208e-16 2.705923e-17 2.197472e-17
273 1.498185e-16 2.669975e-17 2.168710e-17
274 1.477448e-16 2.634647e-17 2.140441e-17
275 1.456983e-16 2.599928e-17 2.112662e-17
276 1.436949e-16 2.565803e-17 2.085365e-17
277 1.417328e-16 2.532260e-17 2.058532e-17
278 1.397946e-16 2.499284e-17 2.032137e-17
279 1.378811e-16 2.466859e-17 2.006159e-17
280 1.360144e-16 2.434978e-17 1.980599e-17
281 1.341763e-16 2.403633e-17 1.955459e-17
282 1.323722e-16 2.372814e-17 1.930740e-17
283 1.306047e-16 2.342508e-17 1.906431e-17
284 1.288475e-16 2.312703e-17 1.882520e-17
285 1.271177e-16 2.283387e-17 1.858997e-17
286 1.254259e-16 2.254552e-17 1.835853e-17
287 1.237663e-16 2.226190e-17 1.813080e-17
288 1.221340e-16 2.198293e-17 1.790670e-17
289 1.205388e-16 2.170850e-17 1.768617e-17
290 1.189683e-16 2.143850e-17 1.746917e-17
291 1.173950e-16 2.117285e-17 1.725562e-17
292 1.158658e-16 2.091146e-17 1.704547e-17
293 1.143768e-16 2.065426e-17 1.683866e-17
294 1.128946e-16 2.040117e-17 1.663512e-17
295 1.114342e-16 2.015211e-17 1.643478e-17
296 1.099992e-16 1.990700e-17 1.623759e-17
297 1.085912e-16 1.966575e-17 1.604347e-17
298 1.072169e-16 1.942829e-17 1.585230e-17
299 1.058550e-16 1.919454e-17 1.566401e-17
300 1.045052e-16 1.896443e-17 1.547853e-17
301 1.031891e-16 1.873790e-17 1.529588e-17
302 1.018873e-16 1.851489e-17 1.511606e-17
303 1.006022e-16 1.829534e-17 1.493903e-17
304 9.934991e-17 1.807918e-17 1.476470e-17
305 9.810808e-17 1.786633e-17 1.459299e-17
306 9.688297e-17 1.765671e-17 1.442383e-17
307 9.569034e-17 1.745028e-17 1.425716e-17
308 9.450647e-17 1.724698e-17 1.409295e-17
309 9.333729e-17 1.704676e-17 1.393116e-17
310 9.219782e-17 1.684956e-17 1.377176e-17
311 9.107000e-17 1.665532e-17 1.361472e-17
312 8.995267e-17 1.646399e-17 1.346000e-17
