Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
99 7.708509e-15 1.030954e-14 1.571847e-14 7.624351e-15 1.516233e-15 2.821230e-15 1.264721e-15 9.853087e-16 8.407372e-16 8.163638e-16
100 7.408415e-15 9.935656e-15 1.510829e-14 7.342294e-15 1.457109e-15 2.715357e-15 1.215824e-15 9.473936e-16 8.087289e-16 7.852931e-16
101 7.123280e-15 9.579458e-15 1.452767e-14 7.073665e-15 1.400857e-15 2.614545e-15 1.169292e-15 9.113081e-16 7.782552e-16 7.557118e-16
102 6.851380e-15 9.239934e-15 1.397491e-14 6.817693e-15 1.347310e-15 2.518505e-15 1.124990e-15 8.769472e-16 7.492293e-16 7.275359e-16
103 6.592503e-15 8.916142e-15 1.344841e-14 6.573662e-15 1.296313e-15 2.426964e-15 1.082789e-15 8.442125e-16 7.215678e-16 7.006842e-16
104 6.345950e-15 8.607202e-15 1.294669e-14 6.340902e-15 1.247721e-15 2.339670e-15 1.042571e-15 8.130145e-16 6.951951e-16 6.750834e-16
105 6.110737e-15 8.312292e-15 1.246835e-14 6.118785e-15 1.201399e-15 2.256387e-15 1.004224e-15 7.832646e-16 6.700383e-16 6.506628e-16
106 5.886589e-15 8.030642e-15 1.201210e-14 5.906726e-15 1.157222e-15 2.176893e-15 9.676445e-16 7.548787e-16 6.460312e-16 6.273581e-16
107 5.672376e-15 7.761531e-15 1.157671e-14 5.704176e-15 1.115069e-15 2.100980e-15 9.327354e-16 7.277867e-16 6.231101e-16 6.051074e-16
108 5.468028e-15 7.504284e-15 1.116105e-14 5.510621e-15 1.074832e-15 2.028455e-15 8.994053e-16 7.019212e-16 6.012169e-16 5.838546e-16
109 5.272724e-15 7.258270e-15 1.076406e-14 5.325580e-15 1.036406e-15 1.959136e-15 8.675690e-16 6.772094e-16 5.802956e-16 5.635451e-16
110 5.086477e-15 7.022895e-15 1.038473e-14 5.148601e-15 9.996936e-16 1.892854e-15 8.371465e-16 6.535926e-16 5.602954e-16 5.441296e-16
111 4.908272e-15 6.797601e-15 1.002212e-14 4.979261e-15 9.646043e-16 1.829457e-15 8.080628e-16 6.310195e-16 5.411669e-16 5.255601e-16
112 4.738070e-15 6.581867e-15 9.675358e-15 4.817162e-15 9.310522e-16 1.768797e-15 7.802474e-16 6.094221e-16 5.228653e-16 5.077933e-16
113 4.575134e-15 6.375200e-15 9.343612e-15 4.661930e-15 8.989572e-16 1.710723e-15 7.536343e-16 5.887600e-16 5.053470e-16 4.907868e-16
114 4.419342e-15 6.177140e-15 9.026107e-15 4.513213e-15 8.682437e-16 1.655104e-15 7.281613e-16 5.689790e-16 4.885725e-16 4.745023e-16
