Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
108 2.684661e-15 2.995476e-15 3.273619e-14 2.299349e-15 3.169722e-15 8.714894e-16 1.332639e-15 6.836263e-16 4.923034e-16 4.748652e-16
109 2.591953e-15 2.904855e-15 3.156133e-14 2.227205e-15 3.055517e-15 8.433771e-16 1.288211e-15 6.610500e-16 4.764799e-16 4.596155e-16
110 2.503399e-15 2.818086e-15 3.043894e-14 2.158147e-15 2.946424e-15 8.165542e-16 1.245710e-15 6.395228e-16 4.613336e-16 4.450182e-16
111 2.418171e-15 2.734968e-15 2.936627e-14 2.092015e-15 2.842170e-15 7.910426e-16 1.205034e-15 6.189222e-16 4.468292e-16 4.310395e-16
112 2.336349e-15 2.655316e-15 2.834070e-14 2.028658e-15 2.742501e-15 7.664672e-16 1.166089e-15 5.991470e-16 4.329337e-16 4.176476e-16
113 2.257957e-15 2.578954e-15 2.735971e-14 1.967935e-15 2.647175e-15 7.429025e-16 1.128786e-15 5.801929e-16 4.196162e-16 4.048125e-16
114 2.182814e-15 2.505715e-15 2.642103e-14 1.909713e-15 2.555967e-15 7.202987e-16 1.093039e-15 5.620269e-16 4.068473e-16 3.925062e-16
115 2.110795e-15 2.435445e-15 2.552251e-14 1.853867e-15 2.468667e-15 6.986091e-16 1.058772e-15 5.446017e-16 3.945996e-16 3.807021e-16
116 2.041641e-15 2.367997e-15 2.466204e-14 1.800277e-15 2.385073e-15 6.777957e-16 1.025910e-15 5.278853e-16 3.828472e-16 3.693753e-16
117 1.975482e-15 2.303234e-15 2.383773e-14 1.748834e-15 2.305000e-15 6.578139e-16 9.943827e-16 5.118425e-16 3.715658e-16 3.585023e-16
118 1.911890e-15 2.241024e-15 2.304778e-14 1.699432e-15 2.228270e-15 6.386254e-16 9.641245e-16 4.964388e-16 3.607323e-16 3.480610e-16
119 1.850890e-15 2.181247e-15 2.229045e-14 1.651974e-15 2.154716e-15 6.201919e-16 9.350734e-16 4.816534e-16 3.503252e-16 3.380305e-16
120 1.792350e-15 2.123785e-15 2.156417e-14 1.606364e-15 2.084184e-15 6.024774e-16 9.071709e-16 4.674450e-16 3.403240e-16 3.283912e-16
121 1.736134e-15 2.068530e-15 2.086739e-14 1.562517e-15 2.016523e-15 5.854490e-16 8.803621e-16 4.537890e-16 3.307093e-16 3.191244e-16
122 1.682146e-15 2.015379e-15 2.019870e-14 1.520348e-15 1.951596e-15 5.690741e-16 8.545948e-16 4.406625e-16 3.214630e-16 3.102125e-16
123 1.630281e-15 1.964234e-15 1.955675e-14 1.479779e-15 1.889271e-15 5.533217e-16 8.298197e-16 4.280400e-16 3.125679e-16 3.016391e-16
124 1.580448e-15 1.915002e-15 1.894024e-14 1.440737e-15 1.829423e-15 5.381631e-16 8.059904e-16 4.158975e-16 3.040076e-16 2.933883e-16
125 1.532441e-15 1.867597e-15 1.834800e-14 1.403151e-15 1.771935e-15 5.235713e-16 7.830629e-16 4.042126e-16 2.957668e-16 2.854454e-16
126 1.486364e-15 1.821937e-15 1.777886e-14 1.366954e-15 1.716696e-15 5.095202e-16 7.609957e-16 3.929649e-16 2.878308e-16 2.777964e-16
127 1.442040e-15 1.777943e-15 1.723176e-14 1.332084e-15 1.663602e-15 4.959857e-16 7.397497e-16 3.821321e-16 2.801860e-16 2.704279e-16
128 1.399311e-15 1.735541e-15 1.670570e-14 1.298482e-15 1.612553e-15 4.829447e-16 7.192873e-16 3.716959e-16 2.728193e-16 2.633273e-16
129 1.358254e-15 1.694661e-15 1.619966e-14 1.266090e-15 1.563454e-15 4.703752e-16 6.995734e-16 3.616434e-16 2.657182e-16 2.564828e-16
130 1.318707e-15 1.655236e-15 1.571279e-14 1.234857e-15 1.516218e-15 4.582561e-16 6.805747e-16 3.519512e-16 2.588711e-16 2.498831e-16
131 1.280585e-15 1.617205e-15 1.524420e-14 1.204730e-15 1.470760e-15 4.465676e-16 6.622595e-16 3.426069e-16 2.522668e-16 2.435173e-16
132 1.243882e-15 1.580506e-15 1.479304e-14 1.175662e-15 1.427000e-15 4.352915e-16 6.445978e-16 3.335966e-16 2.458948e-16 2.373754e-16
133 1.208505e-15 1.545083e-15 1.435860e-14 1.147608e-15 1.384863e-15 4.244098e-16 6.275611e-16 3.249014e-16 2.397450e-16 2.314477e-16
134 1.174410e-15 1.510883e-15 1.394006e-14 1.120525e-15 1.344276e-15 4.139032e-16 6.111224e-16 3.165129e-16 2.338080e-16 2.257250e-16
135 1.141567e-15 1.477853e-15 1.353682e-14 1.094370e-15 1.305173e-15 4.037641e-16 5.952559e-16 3.084124e-16 2.280747e-16 2.201987e-16
136 1.110837e-15 1.445947e-15 1.314813e-14 1.069105e-15 1.267488e-15 3.939676e-16 5.799374e-16 3.005926e-16 2.225365e-16 2.148604e-16
