Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
147 5.800706e-16 7.118538e-16 6.575785e-16 1.909910e-16 5.509011e-17 1.196660e-16 4.275711e-17 3.772304e-17
148 5.652655e-16 6.981198e-16 6.401216e-16 1.863952e-16 5.362149e-17 1.168672e-16 4.164208e-17 3.675622e-17
149 5.509524e-16 6.848092e-16 6.232404e-16 1.819440e-16 5.220154e-17 1.141549e-16 4.056350e-17 3.582063e-17
150 5.370929e-16 6.719061e-16 6.069124e-16 1.776323e-16 5.082834e-17 1.115254e-16 3.951995e-17 3.491500e-17
151 5.236614e-16 6.593953e-16 5.911173e-16 1.734545e-16 4.950008e-17 1.089783e-16 3.851012e-17 3.403850e-17
152 5.106634e-16 6.472623e-16 5.758312e-16 1.694060e-16 4.821495e-17 1.065112e-16 3.753270e-17 3.319005e-17
153 4.980715e-16 6.354932e-16 5.610402e-16 1.654812e-16 4.697138e-17 1.041171e-16 3.658639e-17 3.236818e-17
154 4.858631e-16 6.240746e-16 5.467150e-16 1.616759e-16 4.576758e-17 1.017937e-16 3.567004e-17 3.157193e-17
155 4.740428e-16 6.129939e-16 5.328506e-16 1.579858e-16 4.460226e-17 9.953958e-17 3.478252e-17 3.080046e-17
156 4.625247e-16 6.022389e-16 5.194195e-16 1.544063e-16 4.347378e-17 9.735193e-17 3.392271e-17 3.005279e-17
157 4.514170e-16 5.917978e-16 5.064125e-16 1.509332e-16 4.238087e-17 9.522830e-17 3.308957e-17 2.932804e-17
158 4.406370e-16 5.816596e-16 4.938065e-16 1.475629e-16 4.132206e-17 9.316655e-17 3.228212e-17 2.862539e-17
159 4.301873e-16 5.718136e-16 4.815973e-16 1.442912e-16 4.029629e-17 9.116450e-17 3.149941e-17 2.794402e-17
160 4.200182e-16 5.622493e-16 4.697575e-16 1.411153e-16 3.930208e-17 8.921998e-17 3.074054e-17 2.728316e-17
161 4.101121e-16 5.529573e-16 4.582842e-16 1.380313e-16 3.833848e-17 8.733089e-17 3.000462e-17 2.664205e-17
162 4.011834e-16 5.439279e-16 4.471553e-16 1.350360e-16 3.740418e-17 8.549572e-17 2.929082e-17 2.602003e-17
163 3.923702e-16 5.351522e-16 4.363677e-16 1.321262e-16 3.649833e-17 8.371278e-17 2.859835e-17 2.541643e-17
164 3.836627e-16 5.266215e-16 4.259004e-16 1.292989e-16 3.561970e-17 8.198010e-17 2.792644e-17 2.483058e-17
165 3.751225e-16 5.183274e-16 4.157465e-16 1.265512e-16 3.476742e-17 8.030664e-17 2.727435e-17 2.426282e-17
166 3.667639e-16 5.102620e-16 4.058952e-16 1.238803e-16 3.394053e-17 7.870458e-17 2.664138e-17 2.371378e-17
167 3.586625e-16 5.024177e-16 3.963340e-16 1.212838e-16 3.313813e-17 7.714859e-17 2.602686e-17 2.318074e-17
168 3.507526e-16 4.947871e-16 3.870541e-16 1.187588e-16 3.235934e-17 7.561491e-17 2.543014e-17 2.266112e-17
169 3.430552e-16 4.873631e-16 3.780441e-16 1.163030e-16 3.160334e-17 7.411580e-17 2.485061e-17 2.215566e-17
170 3.355525e-16 4.801390e-16 3.692968e-16 1.139142e-16 3.086934e-17 7.265818e-17 2.428767e-17 2.166459e-17
171 3.282394e-16 4.731082e-16 3.608003e-16 1.115899e-16 3.015655e-17 7.123775e-17 2.374075e-17 2.118717e-17
172 3.211712e-16 4.662644e-16 3.525482e-16 1.093280e-16 2.946426e-17 6.985298e-17 2.320928e-17 2.072289e-17
173 3.142191e-16 4.596017e-16 3.445331e-16 1.071266e-16 2.879180e-17 6.850389e-17 2.269278e-17 2.027145e-17
174 3.074761e-16 4.531141e-16 3.367431e-16 1.049834e-16 2.813842e-17 6.718939e-17 2.219071e-17 1.983241e-17
175 3.009043e-16 4.467962e-16 3.291751e-16 1.028966e-16 2.750355e-17 6.590824e-17 2.170260e-17 1.940534e-17
176 2.945510e-16 4.406425e-16 3.218179e-16 1.008646e-16 2.688650e-17 6.465957e-17 2.122796e-17 1.898987e-17
177 2.883385e-16 4.346478e-16 3.146674e-16 9.888514e-17 2.628670e-17 6.344247e-17 2.076637e-17 1.858562e-17
178 2.822894e-16 4.288073e-16 3.077145e-16 9.695697e-17 2.570358e-17 6.225593e-17 2.031738e-17 1.819223e-17
179 2.763862e-16 4.231160e-16 3.009535e-16 9.507813e-17 2.513657e-17 6.109889e-17 1.988059e-17 1.780935e-17
180 2.706468e-16 4.175695e-16 2.943797e-16 9.324732e-17 2.458518e-17 5.997038e-17 1.945559e-17 1.743662e-17
181 2.650557e-16 4.121631e-16 2.879840e-16 9.146275e-17 2.404884e-17 5.887013e-17 1.904200e-17 1.707377e-17
182 2.596104e-16 4.068927e-16 2.817631e-16 8.972312e-17 2.352710e-17 5.779788e-17 1.863947e-17 1.672055e-17
183 2.542781e-16 4.017541e-16 2.757106e-16 8.802691e-17 2.301947e-17 5.675199e-17 1.824762e-17 1.637658e-17
184 2.491035e-16 3.967433e-16 2.698205e-16 8.637291e-17 2.252551e-17 5.573089e-17 1.786613e-17 1.604150e-17
185 2.440726e-16 3.918564e-16 2.640879e-16 8.475970e-17 2.204474e-17 5.473409e-17 1.749465e-17 1.571506e-17
186 2.391689e-16 3.870897e-16 2.585083e-16 8.318598e-17 2.157680e-17 5.376118e-17 1.713288e-17 1.539701e-17
187 2.343443e-16 3.824396e-16 2.530769e-16 8.165071e-17 2.112124e-17 5.281144e-17 1.678049e-17 1.508709e-17
188 2.299417e-16 3.779026e-16 2.477879e-16 8.015228e-17 2.067767e-17 5.188413e-17 1.643720e-17 1.478504e-17
189 2.258366e-16 3.734754e-16 2.426381e-16 7.869161e-17 2.024574e-17 5.097856e-17 1.610278e-17 1.449063e-17
190 2.215791e-16 3.691548e-16 2.376226e-16 7.726617e-17 1.982505e-17 5.009499e-17 1.577696e-17 1.420370e-17
191 2.173582e-16 3.649376e-16 2.327371e-16 7.587356e-17 1.941529e-17 4.923476e-17 1.545940e-17 1.392417e-17
192 2.132807e-16 3.608208e-16 2.279786e-16 7.451392e-17 1.901608e-17 4.840006e-17 1.514983e-17 1.365204e-17
193 2.092326e-16 3.568015e-16 2.233418e-16 7.318593e-17 1.862714e-17 4.759343e-17 1.484804e-17 1.338735e-17
194 2.052985e-16 3.528768e-16 2.188242e-16 7.188879e-17 1.824813e-17 4.680997e-17 1.455380e-17 1.312953e-17
195 2.014042e-16 3.490441e-16 2.144211e-16 7.062174e-17 1.787874e-17 4.603860e-17 1.426689e-17 1.287759e-17
196 1.976546e-16 3.453007e-16 2.101294e-16 6.938381e-17 1.751867e-17 4.527710e-17 1.398709e-17 1.263118e-17
197 1.939584e-16 3.416439e-16 2.059468e-16 6.817422e-17 1.716769e-17 4.453068e-17 1.371417e-17 1.239059e-17
198 1.903435e-16 3.380714e-16 2.018686e-16 6.699194e-17 1.682549e-17 4.380098e-17 1.344795e-17 1.215580e-17
199 1.868332e-16 3.345807e-16 1.978923e-16 6.583658e-17 1.649180e-17 4.308662e-17 1.318820e-17 1.192658e-17
200 1.833586e-16 3.311696e-16 1.940147e-16 6.470690e-17 1.616638e-17 4.238691e-17 1.293475e-17 1.170274e-17
201 1.799791e-16 3.278357e-16 1.902331e-16 6.360258e-17 1.584899e-17 4.170188e-17 1.268743e-17 1.148417e-17
202 1.766848e-16 3.245768e-16 1.865447e-16 6.252286e-17 1.553938e-17 4.103134e-17 1.244605e-17 1.127073e-17
203 1.734769e-16 3.213910e-16 1.829466e-16 6.146678e-17 1.523734e-17 4.037485e-17 1.221044e-17 1.106228e-17
204 1.703167e-16 3.182760e-16 1.794363e-16 6.043390e-17 1.494263e-17 3.973204e-17 1.198042e-17 1.085867e-17
205 1.672289e-16 3.152299e-16 1.760115e-16 5.942352e-17 1.465507e-17 3.910257e-17 1.175584e-17 1.065976e-17
206 1.642208e-16 3.122507e-16 1.726690e-16 5.843505e-17 1.437441e-17 3.848613e-17 1.153655e-17 1.046544e-17
207 1.612746e-16 3.093366e-16 1.694074e-16 5.746785e-17 1.410050e-17 3.788243e-17 1.132239e-17 1.027556e-17
208 1.583882e-16 3.064858e-16 1.662234e-16 5.652138e-17 1.383309e-17 3.729116e-17 1.111322e-17 1.009002e-17
209 1.555738e-16 3.036964e-16 1.631151e-16 5.559504e-17 1.357202e-17 3.671196e-17 1.090891e-17 9.908700e-18
210 1.528149e-16 3.009668e-16 1.600810e-16 5.468831e-17 1.331714e-17 3.614450e-17 1.070932e-17 9.731478e-18
211 1.501308e-16 2.982952e-16 1.571184e-16 5.380063e-17 1.306824e-17 3.558851e-17 1.051431e-17 9.558247e-18
