Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
108 3.891444e-15 6.034359e-17 5.869306e-17 1.191990e-17 9.561973e-18 1.155913e-17 9.370978e-18
109 3.751857e-15 5.817783e-17 5.658860e-17 1.149682e-17 9.222842e-18 1.114899e-17 9.038702e-18
110 3.619657e-15 5.610878e-17 5.457827e-17 1.109250e-17 8.898739e-18 1.075704e-17 8.721154e-18
111 3.492382e-15 5.413131e-17 5.265687e-17 1.070595e-17 8.588869e-18 1.038231e-17 8.417549e-18
112 3.371195e-15 5.224059e-17 5.081973e-17 1.033622e-17 8.292487e-18 1.002389e-17 8.127161e-18
113 3.255132e-15 5.043208e-17 4.906236e-17 9.982453e-18 8.008892e-18 9.680944e-18 7.849300e-18
114 3.143684e-15 4.870151e-17 4.738080e-17 9.643819e-18 7.737426e-18 9.352670e-18 7.583324e-18
115 3.039093e-15 4.704490e-17 4.577084e-17 9.319548e-18 7.477469e-18 9.038316e-18 7.328622e-18
116 2.936680e-15 4.545847e-17 4.422913e-17 9.008912e-18 7.228438e-18 8.737182e-18 7.084628e-18
117 2.838481e-15 4.393867e-17 4.275221e-17 8.711226e-18 6.989785e-18 8.448600e-18 6.850801e-18
118 2.745860e-15 4.248217e-17 4.133659e-17 8.425846e-18 6.760995e-18 8.171949e-18 6.626637e-18
119 2.655576e-15 4.108582e-17 3.997965e-17 8.152164e-18 6.541579e-18 7.906636e-18 6.411657e-18
120 2.569000e-15 3.974667e-17 3.867815e-17 7.889608e-18 6.331079e-18 7.652110e-18 6.205414e-18
121 2.487321e-15 3.846191e-17 3.742956e-17 7.637638e-18 6.129063e-18 7.407843e-18 6.007481e-18
122 2.407677e-15 3.722892e-17 3.623117e-17 7.395743e-18 5.935122e-18 7.173344e-18 5.817460e-18
123 2.331895e-15 3.604520e-17 3.508056e-17 7.163442e-18 5.748869e-18 6.948144e-18 5.634972e-18
124 2.258957e-15 3.490841e-17 3.397573e-17 6.940281e-18 5.569942e-18 6.731805e-18 5.459661e-18
125 2.188741e-15 3.381632e-17 3.291411e-17 6.725830e-18 5.397995e-18 6.523908e-18 5.291189e-18
126 2.120909e-15 3.276684e-17 3.189400e-17 6.519682e-18 5.232703e-18 6.324061e-18 5.129237e-18
127 2.055595e-15 3.175799e-17 3.091342e-17 6.321454e-18 5.073758e-18 6.131889e-18 4.973503e-18
128 1.993878e-15 3.078789e-17 2.997037e-17 6.130781e-18 4.920869e-18 5.947042e-18 4.823703e-18
129 1.933447e-15 2.985475e-17 2.906337e-17 5.947320e-18 4.773760e-18 5.769184e-18 4.679564e-18
130 1.875375e-15 2.895691e-17 2.819051e-17 5.770744e-18 4.632169e-18 5.598001e-18 4.540833e-18
131 1.819499e-15 2.809276e-17 2.735029e-17 5.600744e-18 4.495850e-18 5.433192e-18 4.407265e-18
132 1.766263e-15 2.726080e-17 2.654142e-17 5.437027e-18 4.364566e-18 5.274474e-18 4.278632e-18
133 1.715086e-15 2.645959e-17 2.576258e-17 5.279316e-18 4.238096e-18 5.121577e-18 4.154714e-18
134 1.665135e-15 2.568779e-17 2.501218e-17 5.127347e-18 4.116229e-18 4.974247e-18 4.035306e-18
135 1.616981e-15 2.494409e-17 2.428899e-17 4.980870e-18 3.998764e-18 4.832239e-18 3.920210e-18
136 1.570531e-15 2.422728e-17 2.359200e-17 4.839648e-18 3.885510e-18 4.695325e-18 3.809241e-18
137 1.526660e-15 2.353620e-17 2.292019e-17 4.703455e-18 3.776288e-18 4.563286e-18 3.702220e-18
138 1.483580e-15 2.286973e-17 2.227217e-17 4.572076e-18 3.670925e-18 4.435914e-18 3.598981e-18
139 1.442172e-15 2.222685e-17 2.164699e-17 4.445308e-18 3.569258e-18 4.313010e-18 3.499363e-18
140 1.402091e-15 2.160654e-17 2.104388e-17 4.322958e-18 3.471132e-18 4.194389e-18 3.403214e-18
141 1.363681e-15 2.100787e-17 2.046171e-17 4.204840e-18 3.376399e-18 4.079871e-18 3.310389e-18
142 1.326950e-15 2.042992e-17 1.989959e-17 4.090780e-18 3.284919e-18 3.969286e-18 3.220752e-18
143 1.290836e-15 1.987185e-17 1.935683e-17 3.980611e-18 3.196558e-18 3.862473e-18 3.134169e-18
144 1.256163e-15 1.933283e-17 1.883269e-17 3.874174e-18 3.111189e-18 3.759277e-18 3.050518e-18
145 1.222725e-15 1.881210e-17 1.832628e-17 3.771318e-18 3.028689e-18 3.659551e-18 2.969678e-18
146 1.190458e-15 1.830889e-17 1.783683e-17 3.671897e-18 2.948945e-18 3.563156e-18 2.891538e-18
147 1.159157e-15 1.782253e-17 1.736373e-17 3.575776e-18 2.871845e-18 3.469959e-18 2.815988e-18
148 1.129197e-15 1.735231e-17 1.690637e-17 3.482822e-18 2.797284e-18 3.379832e-18 2.742926e-18
149 1.099840e-15 1.689762e-17 1.646413e-17 3.392910e-18 2.725163e-18 3.292654e-18 2.672254e-18
150 1.071502e-15 1.645783e-17 1.603643e-17 3.305922e-18 2.655385e-18 3.208311e-18 2.603877e-18
151 1.043923e-15 1.603236e-17 1.562264e-17 3.221743e-18 2.587860e-18 3.126689e-18 2.537708e-18
152 1.017484e-15 1.562065e-17 1.522216e-17 3.140265e-18 2.522499e-18 3.047686e-18 2.473659e-18
153 9.919663e-16 1.522217e-17 1.483451e-17 3.061383e-18 2.459221e-18 2.971200e-18 2.411650e-18
154 9.669823e-16 1.483642e-17 1.445928e-17 2.984999e-18 2.397945e-18 2.897135e-18 2.351603e-18
155 9.430628e-16 1.446290e-17 1.409599e-17 2.911018e-18 2.338595e-18 2.825399e-18 2.293443e-18
156 9.194477e-16 1.410115e-17 1.374410e-17 2.839349e-18 2.281100e-18 2.755905e-18 2.237100e-18
157 8.971377e-16 1.375073e-17 1.340317e-17 2.769905e-18 2.225388e-18 2.688567e-18 2.182504e-18
158 8.750672e-16 1.341122e-17 1.307286e-17 2.702605e-18 2.171395e-18 2.623306e-18 2.129592e-18
159 8.540261e-16 1.308220e-17 1.275276e-17 2.637367e-18 2.119056e-18 2.560046e-18 2.078300e-18
160 8.337675e-16 1.276329e-17 1.244248e-17 2.574117e-18 2.068310e-18 2.498712e-18 2.028570e-18
161 8.135691e-16 1.245412e-17 1.214170e-17 2.512782e-18 2.019100e-18 2.439234e-18 1.980344e-18
162 7.939711e-16 1.215433e-17 1.185003e-17 2.453292e-18 1.971370e-18 2.381545e-18 1.933567e-18
163 7.755035e-16 1.186358e-17 1.156713e-17 2.395581e-18 1.925065e-18 2.325580e-18 1.888188e-18
164 7.570685e-16 1.158154e-17 1.129271e-17 2.339584e-18 1.880136e-18 2.271278e-18 1.844156e-18
165 7.392443e-16 1.130791e-17 1.102644e-17 2.285242e-18 1.836533e-18 2.218578e-18 1.801423e-18
166 7.218275e-16 1.104238e-17 1.076800e-17 2.232494e-18 1.794209e-18 2.167425e-18 1.759944e-18
167 7.057739e-16 1.078466e-17 1.051718e-17 2.181286e-18 1.753119e-18 2.117764e-18 1.719673e-18
168 6.893952e-16 1.053449e-17 1.027378e-17 2.131562e-18 1.713219e-18 2.069542e-18 1.680569e-18
169 6.734973e-16 1.029159e-17 1.003741e-17 2.083272e-18 1.674470e-18 2.022709e-18 1.642591e-18
170 6.584288e-16 1.005571e-17 9.807788e-18 2.036365e-18 1.636829e-18 1.977218e-18 1.605700e-18
171 6.435584e-16 9.826612e-18 9.584794e-18 1.990795e-18 1.600260e-18 1.933022e-18 1.569859e-18
172 6.290036e-16 9.604060e-18 9.368208e-18 1.946515e-18 1.564727e-18 1.890077e-18 1.535032e-18
173 6.148024e-16 9.387829e-18 9.157762e-18 1.903481e-18 1.530192e-18 1.848340e-18 1.501184e-18
174 6.014850e-16 9.177705e-18 8.953235e-18 1.861652e-18 1.496624e-18 1.807771e-18 1.468283e-18
175 5.885041e-16 8.973481e-18 8.754436e-18 1.820987e-18 1.463989e-18 1.768330e-18 1.436296e-18
176 5.754492e-16 8.774958e-18 8.561204e-18 1.781447e-18 1.432256e-18 1.729980e-18 1.405193e-18
177 5.628102e-16 8.581947e-18 8.373342e-18 1.742994e-18 1.401395e-18 1.692684e-18 1.374944e-18
178 5.505867e-16 8.394263e-18 8.190612e-18 1.705593e-18 1.371378e-18 1.656407e-18 1.345522e-18
179 5.389667e-16 8.211731e-18 8.012865e-18 1.669209e-18 1.342176e-18 1.621116e-18 1.316899e-18
180 5.272904e-16 8.034180e-18 7.840009e-18 1.633809e-18 1.313763e-18 1.586780e-18 1.289049e-18
181 5.159995e-16 7.861449e-18 7.671861e-18 1.599360e-18 1.286114e-18 1.553365e-18 1.261947e-18
182 5.050287e-16 7.693380e-18 7.508219e-18 1.565833e-18 1.259204e-18 1.520844e-18 1.235569e-18
183 4.943287e-16 7.529822e-18 7.348962e-18 1.533197e-18 1.233008e-18 1.489187e-18 1.209892e-18
184 4.844909e-16 7.370631e-18 7.193971e-18 1.501424e-18 1.207505e-18 1.458367e-18 1.184892e-18
185 4.743646e-16 7.215666e-18 7.043079e-18 1.470487e-18 1.182672e-18 1.428356e-18 1.160550e-18
186 4.644931e-16 7.064793e-18 6.896132e-18 1.440358e-18 1.158488e-18 1.399130e-18 1.136843e-18
187 4.549192e-16 6.917883e-18 6.753024e-18 1.411014e-18 1.134932e-18 1.370664e-18 1.113752e-18
188 4.455401e-16 6.774810e-18 6.613659e-18 1.382428e-18 1.111985e-18 1.342934e-18 1.091257e-18
189 4.366497e-16 6.635455e-18 6.477937e-18 1.354578e-18 1.089629e-18 1.315916e-18 1.069341e-18
190 4.279515e-16 6.499702e-18 6.345740e-18 1.327441e-18 1.067844e-18 1.289590e-18 1.047984e-18
191 4.192751e-16 6.367438e-18 6.216926e-18 1.300994e-18 1.046613e-18 1.263933e-18 1.027171e-18
192 4.107790e-16 6.238557e-18 6.091387e-18 1.275217e-18 1.025919e-18 1.238926e-18 1.006884e-18
193 4.026567e-16 6.112955e-18 5.969054e-18 1.250089e-18 1.005746e-18 1.214548e-18 9.871072e-19
194 3.947254e-16 5.990531e-18 5.849827e-18 1.225591e-18 9.860775e-19 1.190780e-18 9.678253e-19
195 3.873669e-16 5.871189e-18 5.733579e-18 1.201703e-18 9.668991e-19 1.167604e-18 9.490232e-19
196 3.796708e-16 5.754837e-18 5.620215e-18 1.178408e-18 9.481958e-19 1.145003e-18 9.306866e-19
197 3.722228e-16 5.641383e-18 5.509662e-18 1.155687e-18 9.299534e-19 1.122958e-18 9.128016e-19
198 3.650806e-16 5.530742e-18 5.401853e-18 1.133523e-18 9.121582e-19 1.101454e-18 8.953549e-19
199 3.579367e-16 5.422830e-18 5.296728e-18 1.111901e-18 8.947970e-19 1.080474e-18 8.783333e-19
200 3.510290e-16 5.317566e-18 5.194201e-18 1.090803e-18 8.778570e-19 1.060004e-18 8.617246e-19
201 3.444795e-16 5.214872e-18 5.094166e-18 1.070215e-18 8.613259e-19 1.040028e-18 8.455165e-19
202 3.380194e-16 5.114673e-18 4.996539e-18 1.050123e-18 8.451919e-19 1.020531e-18 8.296976e-19
203 3.316057e-16 5.016896e-18 4.901252e-18 1.030510e-18 8.294434e-19 1.001501e-18 8.142563e-19
204 3.254329e-16 4.921470e-18 4.808252e-18 1.011365e-18 8.140693e-19 9.829226e-19 7.991820e-19
205 3.192918e-16 4.828329e-18 4.717492e-18 9.926722e-19 7.990589e-19 9.647841e-19 7.844640e-19
206 3.133433e-16 4.737406e-18 4.628910e-18 9.744202e-19 7.844018e-19 9.470727e-19 7.700923e-19
207 3.075127e-16 4.648637e-18 4.542417e-18 9.565961e-19 7.700880e-19 9.297761e-19 7.560570e-19
208 3.020083e-16 4.561962e-18 4.457939e-18 9.391878e-19 7.561078e-19 9.128826e-19 7.423485e-19
209 2.965154e-16 4.477321e-18 4.375432e-18 9.221835e-19 7.424517e-19 8.963809e-19 7.289577e-19
210 2.910912e-16 4.394657e-18 4.294852e-18 9.055720e-19 7.291108e-19 8.802601e-19 7.158758e-19
211 2.858849e-16 4.313915e-18 4.216155e-18 8.893423e-19 7.160763e-19 8.645095e-19 7.030941e-19
212 2.806330e-16 4.235040e-18 4.139289e-18 8.734838e-19 7.033396e-19 8.491190e-19 6.906043e-19
213 2.755217e-16 4.157981e-18 4.064191e-18 8.579863e-19 6.908925e-19 8.340784e-19 6.783983e-19
214 2.705644e-16 4.082688e-18 3.990796e-18 8.428399e-19 6.787272e-19 8.193782e-19 6.664683e-19
215 2.658799e-16 4.009112e-18 3.919062e-18 8.280349e-19 6.668358e-19 8.050092e-19 6.548069e-19
216 2.612479e-16 3.937205e-18 3.848957e-18 8.135622e-19 6.552110e-19 7.909623e-19 6.434067e-19
217 2.565681e-16 3.866924e-18 3.780438e-18 7.994126e-19 6.438456e-19 7.772288e-19 6.322606e-19
218 2.520099e-16 3.798222e-18 3.713460e-18 7.855775e-19 6.327324e-19 7.638003e-19 6.213619e-19
219 2.476179e-16 3.731059e-18 3.647978e-18 7.720484e-19 6.218649e-19 7.506685e-19 6.107038e-19
