Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
188 2.309635e-16 1.681288e-17 1.504067e-17 3.652140e-18 2.951453e-18 3.428409e-18 2.814478e-18
189 2.265037e-16 1.647115e-17 1.474145e-17 3.577682e-18 2.891096e-18 3.359488e-18 2.757600e-18
190 2.221751e-16 1.613815e-17 1.444987e-17 3.505139e-18 2.832296e-18 3.292322e-18 2.702177e-18
191 2.178705e-16 1.581361e-17 1.416536e-17 3.434453e-18 2.775004e-18 3.226858e-18 2.648163e-18
192 2.135667e-16 1.549727e-17 1.388785e-17 3.365566e-18 2.719174e-18 3.163043e-18 2.595516e-18
193 2.095928e-16 1.518887e-17 1.361774e-17 3.298423e-18 2.664762e-18 3.100828e-18 2.544194e-18
194 2.055336e-16 1.488819e-17 1.335528e-17 3.232972e-18 2.611724e-18 3.040164e-18 2.494157e-18
195 2.017801e-16 1.459501e-17 1.310047e-17 3.169161e-18 2.560019e-18 2.981005e-18 2.445367e-18
196 1.978924e-16 1.430910e-17 1.285221e-17 3.106942e-18 2.509607e-18 2.923307e-18 2.397786e-18
197 1.941385e-16 1.403022e-17 1.260861e-17 3.046266e-18 2.460449e-18 2.867024e-18 2.351378e-18
198 1.905940e-16 1.375816e-17 1.236966e-17 2.987087e-18 2.412508e-18 2.812117e-18 2.306108e-18
199 1.869662e-16 1.349271e-17 1.213687e-17 2.929363e-18 2.365748e-18 2.758543e-18 2.261944e-18
200 1.834917e-16 1.323371e-17 1.191029e-17 2.873049e-18 2.320133e-18 2.706265e-18 2.218852e-18
201 1.801822e-16 1.298095e-17 1.168873e-17 2.818104e-18 2.275631e-18 2.655245e-18 2.176801e-18
202 1.768207e-16 1.273428e-17 1.147179e-17 2.764488e-18 2.232209e-18 2.605445e-18 2.135761e-18
203 1.735934e-16 1.249349e-17 1.125982e-17 2.712164e-18 2.189835e-18 2.556832e-18 2.095703e-18
204 1.704839e-16 1.225841e-17 1.105294e-17 2.661093e-18 2.148479e-18 2.509371e-18 2.056598e-18
205 1.673434e-16 1.202890e-17 1.085096e-17 2.611240e-18 2.108113e-18 2.463028e-18 2.018420e-18
206 1.642837e-16 1.180479e-17 1.065365e-17 2.562569e-18 2.068706e-18 2.417773e-18 1.981141e-18
207 1.613408e-16 1.158592e-17 1.046081e-17 2.515048e-18 2.030233e-18 2.373575e-18 1.944737e-18
