Ls T E B
383 1.645420e-17 3.692807e-19 3.406332e-19
384 1.648902e-17 3.682066e-19 3.395843e-19
385 1.652392e-17 3.671385e-19 3.385414e-19
386 1.655889e-17 3.660764e-19 3.375046e-19
387 1.659393e-17 3.650203e-19 3.364738e-19
388 1.662905e-17 3.639700e-19 3.354489e-19
389 1.666424e-17 3.629256e-19 3.344299e-19
390 1.669951e-17 3.618870e-19 3.334167e-19
391 1.673485e-17 3.608542e-19 3.324093e-19
392 1.677027e-17 3.598271e-19 3.314077e-19
393 1.680576e-17 3.588056e-19 3.304118e-19
394 1.684133e-17 3.577897e-19 3.294215e-19
395 1.687697e-17 3.567795e-19 3.284368e-19
396 1.691269e-17 3.557747e-19 3.274578e-19
397 1.694848e-17 3.547755e-19 3.264842e-19
398 1.698435e-17 3.537817e-19 3.255161e-19
399 1.685836e-17 3.527933e-19 3.245535e-19
400 1.657409e-17 3.518102e-19 3.235963e-19
401 1.629462e-17 3.508325e-19 3.226444e-19
402 1.601986e-17 3.498600e-19 3.216978e-19
403 1.574973e-17 3.488928e-19 3.207565e-19
404 1.548415e-17 3.479308e-19 3.198204e-19
405 1.522306e-17 3.469739e-19 3.188895e-19
406 1.496637e-17 3.460221e-19 3.179638e-19
407 1.471400e-17 3.450755e-19 3.170431e-19
408 1.446589e-17 3.441338e-19 3.161276e-19
409 1.422197e-17 3.431972e-19 3.152171e-19
410 1.398216e-17 3.422655e-19 3.143115e-19
411 1.374639e-17 3.413387e-19 3.134109e-19
412 1.351460e-17 3.404168e-19 3.125153e-19
413 1.328671e-17 3.394998e-19 3.116245e-19
414 1.306267e-17 3.385876e-19 3.107385e-19
415 1.284241e-17 3.376801e-19 3.098574e-19
416 1.262586e-17 3.367774e-19 3.089810e-19
417 1.241296e-17 3.358794e-19 3.081094e-19
418 1.220365e-17 3.349861e-19 3.072425e-19
419 1.199787e-17 3.340974e-19 3.063802e-19
420 1.179556e-17 3.332133e-19 3.055226e-19
421 1.159666e-17 3.323337e-19 3.046695e-19
422 1.140112e-17 3.314587e-19 3.038210e-19
423 1.120887e-17 3.305882e-19 3.029770e-19
424 1.101987e-17 3.297222e-19 3.021376e-19
425 1.083405e-17 3.288605e-19 3.013026e-19
426 1.065137e-17 3.280033e-19 3.004720e-19
427 1.047176e-17 3.271505e-19 2.996458e-19
428 1.029519e-17 3.263020e-19 2.988239e-19
429 1.012159e-17 3.254577e-19 2.980064e-19
430 9.950916e-18 3.246178e-19 2.971932e-19
431 9.783123e-18 3.237821e-19 2.963843e-19
432 9.618159e-18 3.229506e-19 2.955796e-19
433 9.455976e-18 3.221233e-19 2.947791e-19
434 9.296529e-18 3.213002e-19 2.939828e-19
435 9.139770e-18 3.204811e-19 2.931906e-19
436 8.985655e-18 3.196662e-19 2.924025e-19
437 8.834138e-18 3.188553e-19 2.916186e-19
438 8.685176e-18 3.180484e-19 2.908386e-19
439 8.799516e-18 3.172456e-19 2.900627e-19
440 8.915361e-18 3.164467e-19 2.892908e-19
441 9.032732e-18 3.156518e-19 2.885229e-19
442 9.151647e-18 3.148608e-19 2.877589e-19
443 9.272128e-18 3.140737e-19 2.869988e-19
444 9.394196e-18 3.132904e-19 2.862427e-19
445 9.517870e-18 3.125110e-19 2.854903e-19
446 9.643172e-18 3.117354e-19 2.847418e-19
447 9.770124e-18 3.109636e-19 2.839971e-19
448 9.898748e-18 3.101955e-19 2.832562e-19
449 1.002906e-17 3.094312e-19 2.825190e-19
450 1.016110e-17 3.086706e-19 2.817856e-19
451 1.029487e-17 3.079137e-19 2.810559e-19
452 1.043040e-17 3.071604e-19 2.803298e-19
453 1.056771e-17 3.064107e-19 2.796074e-19
454 1.070684e-17 3.056647e-19 2.788886e-19
455 1.084779e-17 3.049222e-19 2.781734e-19
456 1.099060e-17 3.041833e-19 2.774617e-19
457 1.113530e-17 3.034479e-19 2.767536e-19
458 1.128189e-17 3.027160e-19 2.760491e-19
459 1.143042e-17 3.019876e-19 2.753480e-19
460 1.158090e-17 3.012627e-19 2.746504e-19
461 1.173336e-17 3.005412e-19 2.739563e-19
462 1.188783e-17 2.998231e-19 2.732656e-19
463 1.204433e-17 2.991084e-19 2.725783e-19
464 1.220290e-17 2.983971e-19 2.718944e-19
465 1.236355e-17 2.976891e-19 2.712138e-19
466 1.252631e-17 2.969844e-19 2.705366e-19
467 1.269122e-17 2.962830e-19 2.698627e-19
468 1.285830e-17 2.955850e-19 2.691921e-19
469 1.302758e-17 2.948901e-19 2.685247e-19
470 1.319909e-17 2.941985e-19 2.678606e-19
471 1.337285e-17 2.935102e-19 2.671998e-19
472 1.354891e-17 2.928250e-19 2.665421e-19
473 1.372728e-17 2.921429e-19 2.658876e-19
