Ls T E B
390 1.730492e-17 3.746215e-18 3.588805e-18
391 1.733077e-17 3.736805e-18 3.579960e-18
392 1.735661e-17 3.727449e-18 3.571183e-18
393 1.738259e-17 3.718134e-18 3.562433e-18
394 1.740858e-17 3.708872e-18 3.553750e-18
395 1.743456e-17 3.699664e-18 3.545107e-18
396 1.746054e-17 3.690496e-18 3.536505e-18
397 1.748652e-17 3.681383e-18 3.527957e-18
398 1.751264e-17 3.672323e-18 3.519449e-18
399 1.739027e-17 3.663303e-18 3.510981e-18
400 1.712224e-17 3.654324e-18 3.502568e-18
401 1.685852e-17 3.645412e-18 3.494208e-18
402 1.659871e-17 3.636528e-18 3.485875e-18
403 1.634306e-17 3.627696e-18 3.477596e-18
404 1.609119e-17 3.618919e-18 3.469357e-18
405 1.584336e-17 3.610182e-18 3.461172e-18
406 1.559916e-17 3.601486e-18 3.453014e-18
407 1.535886e-17 3.592844e-18 3.444910e-18
408 1.512220e-17 3.584241e-18 3.436847e-18
409 1.488917e-17 3.575693e-18 3.428823e-18
410 1.465978e-17 3.567172e-18 3.420854e-18
411 1.443403e-17 3.558704e-18 3.412911e-18
412 1.421163e-17 3.550277e-18 3.405023e-18
413 1.399261e-17 3.541904e-18 3.397161e-18
414 1.377708e-17 3.533571e-18 3.389353e-18
415 1.356479e-17 3.525265e-18 3.381572e-18
416 1.335579e-17 3.517012e-18 3.373845e-18
417 1.315003e-17 3.508814e-18 3.366158e-18
418 1.294742e-17 3.500643e-18 3.358498e-18
419 1.274794e-17 3.492512e-18 3.350892e-18
420 1.255154e-17 3.484435e-18 3.343313e-18
421 1.235815e-17 3.476384e-18 3.335774e-18
422 1.216775e-17 3.468388e-18 3.328289e-18
423 1.198028e-17 3.460418e-18 3.320832e-18
424 1.179570e-17 3.452503e-18 3.313401e-18
425 1.161397e-17 3.444614e-18 3.306023e-18
426 1.143503e-17 3.436779e-18 3.298687e-18
427 1.125885e-17 3.428971e-18 3.291377e-18
428 1.108538e-17 3.421204e-18 3.284107e-18
429 1.091459e-17 3.413477e-18 3.276878e-18
430 1.074644e-17 3.405790e-18 3.269676e-18
431 1.058087e-17 3.398143e-18 3.262514e-18
432 1.041784e-17 3.390537e-18 3.255393e-18
433 1.025734e-17 3.382972e-18 3.248299e-18
434 1.009931e-17 3.375433e-18 3.241258e-18
435 9.943702e-18 3.367935e-18 3.234231e-18
436 9.790505e-18 3.360477e-18 3.227258e-18
437 9.639664e-18 3.353046e-18 3.220311e-18
438 9.491138e-18 3.345669e-18 3.213392e-18
439 9.621127e-18 3.338319e-18 3.206513e-18
440 9.752892e-18 3.331009e-18 3.199674e-18
441 9.886462e-18 3.323726e-18 3.192862e-18
442 1.002186e-17 3.316483e-18 3.186078e-18
443 1.015912e-17 3.309281e-18 3.179347e-18
444 1.029825e-17 3.302106e-18 3.172629e-18
445 1.043929e-17 3.294971e-18 3.165952e-18
446 1.058226e-17 3.287863e-18 3.159315e-18
447 1.072719e-17 3.280796e-18 3.152705e-18
448 1.087411e-17 3.273769e-18 3.146123e-18
449 1.102303e-17 3.266768e-18 3.139567e-18
450 1.117400e-17 3.259795e-18 3.133051e-18
451 1.132702e-17 3.252876e-18 3.126576e-18
