Ls TT TE TB EE EB EB_gmv TEB_gmv
196 5.412855e-16 1.313068e-15 2.169639e-15 1.039683e-15 2.173148e-16 1.797445e-16 1.271902e-16
197 5.307488e-16 1.294106e-15 2.128158e-15 1.023566e-15 2.131133e-16 1.763881e-16 1.248329e-16
198 5.204714e-16 1.275573e-15 2.087691e-15 1.007816e-15 2.090152e-16 1.731127e-16 1.225322e-16
199 5.104451e-16 1.257458e-15 2.048210e-15 9.924228e-16 2.050175e-16 1.699158e-16 1.202865e-16
200 5.006627e-16 1.239749e-15 2.009684e-15 9.773752e-16 2.011173e-16 1.667953e-16 1.180943e-16
201 4.911172e-16 1.222433e-15 1.972086e-15 9.626641e-16 1.973116e-16 1.637490e-16 1.159538e-16
202 4.818014e-16 1.205501e-15 1.935389e-15 9.482795e-16 1.935978e-16 1.607745e-16 1.138638e-16
203 4.727089e-16 1.188941e-15 1.899567e-15 9.342126e-16 1.899730e-16 1.578700e-16 1.118226e-16
204 4.638332e-16 1.172743e-15 1.864594e-15 9.204545e-16 1.864349e-16 1.550334e-16 1.098290e-16
205 4.551679e-16 1.156897e-15 1.830447e-15 9.069963e-16 1.829808e-16 1.522627e-16 1.078816e-16
206 4.467071e-16 1.141394e-15 1.797101e-15 8.938302e-16 1.796083e-16 1.495562e-16 1.059789e-16
207 4.384450e-16 1.126224e-15 1.764534e-15 8.809475e-16 1.763152e-16 1.469119e-16 1.041199e-16
208 4.303760e-16 1.111378e-15 1.732724e-15 8.683411e-16 1.730992e-16 1.443282e-16 1.023033e-16
209 4.224945e-16 1.096847e-15 1.701649e-15 8.560030e-16 1.699581e-16 1.418033e-16 1.005278e-16
210 4.147953e-16 1.082623e-15 1.671290e-15 8.439261e-16 1.668898e-16 1.393356e-16 9.879240e-17
211 4.072733e-16 1.068697e-15 1.641626e-15 8.321034e-16 1.638923e-16 1.369236e-16 9.709592e-17
212 3.999237e-16 1.055063e-15 1.612637e-15 8.205280e-16 1.609636e-16 1.345657e-16 9.543733e-17
213 3.927417e-16 1.041711e-15 1.584306e-15 8.091933e-16 1.581017e-16 1.322604e-16 9.381559e-17
214 3.857227e-16 1.028635e-15 1.556614e-15 7.980929e-16 1.553050e-16 1.300064e-16 9.222966e-17
215 3.788622e-16 1.015827e-15 1.529545e-15 7.872205e-16 1.525715e-16 1.278021e-16 9.067862e-17
216 3.721557e-16 1.003281e-15 1.503079e-15 7.765702e-16 1.498995e-16 1.256463e-16 8.916151e-17
217 3.655993e-16 9.909887e-16 1.477203e-15 7.661362e-16 1.472874e-16 1.235376e-16 8.767741e-17
218 3.591888e-16 9.789445e-16 1.451899e-15 7.559127e-16 1.447336e-16 1.214749e-16 8.622544e-17
219 3.529203e-16 9.671416e-16 1.427152e-15 7.458944e-16 1.422364e-16 1.194569e-16 8.480478e-17
220 3.467900e-16 9.555741e-16 1.402948e-15 7.360757e-16 1.397944e-16 1.174823e-16 8.341456e-17
221 3.407942e-16 9.442359e-16 1.379272e-15 7.264518e-16 1.374061e-16 1.155501e-16 8.205400e-17
222 3.349295e-16 9.331211e-16 1.356109e-15 7.170175e-16 1.350701e-16 1.136592e-16 8.072233e-17
223 3.291922e-16 9.222241e-16 1.333448e-15 7.077681e-16 1.327849e-16 1.118085e-16 7.941879e-17
224 3.235790e-16 9.115393e-16 1.311274e-15 6.986986e-16 1.305493e-16 1.099968e-16 7.814264e-17
225 3.180868e-16 9.010615e-16 1.289574e-15 6.898047e-16 1.283620e-16 1.082233e-16 7.689319e-17
