Ls TT TE TB EE EB EB_gmv TEB_gmv
135 1.170158e-15 1.844370e-15 2.628199e-14 1.596190e-15 2.688727e-15 1.001588e-15 4.486120e-16
136 1.137758e-15 1.804670e-15 2.552766e-14 1.560145e-15 2.611088e-15 9.766120e-16 4.372575e-16
137 1.106499e-15 1.766309e-15 2.480039e-14 1.525316e-15 2.536244e-15 9.524849e-16 4.262904e-16
138 1.076333e-15 1.729234e-15 2.409905e-14 1.491654e-15 2.464077e-15 9.291708e-16 4.156945e-16
139 1.047214e-15 1.693390e-15 2.342251e-14 1.459109e-15 2.394472e-15 9.066361e-16 4.054544e-16
140 1.019099e-15 1.658732e-15 2.276974e-14 1.427637e-15 2.327319e-15 8.848486e-16 3.955555e-16
141 9.919447e-16 1.625209e-15 2.213973e-14 1.397196e-15 2.262516e-15 8.637779e-16 3.859837e-16
142 9.657125e-16 1.592777e-15 2.153154e-14 1.367743e-15 2.199965e-15 8.433948e-16 3.767259e-16
143 9.403643e-16 1.561395e-15 2.094426e-14 1.339238e-15 2.139573e-15 8.236717e-16 3.677693e-16
144 9.158642e-16 1.531021e-15 2.037703e-14 1.311647e-15 2.081250e-15 8.045822e-16 3.591019e-16
145 8.921780e-16 1.501614e-15 1.982904e-14 1.284930e-15 2.024913e-15 7.861011e-16 3.507122e-16
146 8.692729e-16 1.473140e-15 1.929951e-14 1.259056e-15 1.970479e-15 7.682045e-16 3.425893e-16
147 8.471179e-16 1.445562e-15 1.878770e-14 1.233991e-15 1.917874e-15 7.508695e-16 3.347226e-16
148 8.256832e-16 1.418847e-15 1.829289e-14 1.209705e-15 1.867024e-15 7.340743e-16 3.271024e-16
149 8.049406e-16 1.392960e-15 1.781442e-14 1.186168e-15 1.817857e-15 7.177981e-16 3.197189e-16
150 7.848631e-16 1.367874e-15 1.735164e-14 1.163351e-15 1.770309e-15 7.020210e-16 3.125630e-16
151 7.654249e-16 1.343558e-15 1.690393e-14 1.141229e-15 1.724315e-15 6.867239e-16 3.056264e-16
152 7.466012e-16 1.319984e-15 1.647070e-14 1.119773e-15 1.679814e-15 6.718888e-16 2.989004e-16
153 7.283687e-16 1.297124e-15 1.605141e-14 1.098962e-15 1.636750e-15 6.574983e-16 2.923774e-16
154 7.107049e-16 1.274952e-15 1.564551e-14 1.078770e-15 1.595066e-15 6.435359e-16 2.860495e-16
155 6.935883e-16 1.253446e-15 1.525249e-14 1.059175e-15 1.554709e-15 6.299856e-16 2.799097e-16
156 6.769982e-16 1.232580e-15 1.487187e-14 1.040156e-15 1.515631e-15 6.168324e-16 2.739511e-16
