Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter
176 4.395372e-16 8.970229e-16 9.243101e-15 7.384107e-16 9.470560e-16 2.110526e-16 4.149096e-16 1.724788e-16 1.373039e-16
177 4.303394e-16 8.859114e-16 9.040780e-15 7.280465e-16 9.261330e-16 2.075238e-16 4.076147e-16 1.694249e-16 1.350329e-16
178 4.213845e-16 8.751012e-16 8.844052e-15 7.179475e-16 9.057908e-16 2.040816e-16 4.005019e-16 1.664466e-16 1.328183e-16
179 4.126562e-16 8.645832e-16 8.652736e-15 7.081054e-16 8.860099e-16 2.007235e-16 3.935653e-16 1.635417e-16 1.306582e-16
180 4.041632e-16 8.543490e-16 8.466664e-15 6.985121e-16 8.667721e-16 1.974470e-16 3.867992e-16 1.607081e-16 1.285510e-16
181 3.958907e-16 8.443900e-16 8.285646e-15 6.891598e-16 8.480592e-16 1.942495e-16 3.801985e-16 1.579436e-16 1.264950e-16
182 3.878335e-16 8.346983e-16 8.109534e-15 6.800413e-16 8.298544e-16 1.911286e-16 3.737577e-16 1.552458e-16 1.244886e-16
183 3.799637e-16 8.252662e-16 7.938164e-15 6.711492e-16 8.121410e-16 1.880819e-16 3.674721e-16 1.526128e-16 1.225303e-16
184 3.723111e-16 8.160861e-16 7.771380e-15 6.624765e-16 7.949033e-16 1.851070e-16 3.613366e-16 1.500426e-16 1.206185e-16
185 3.648618e-16 8.071508e-16 7.609036e-15 6.540168e-16 7.781258e-16 1.822017e-16 3.553468e-16 1.475332e-16 1.187518e-16
186 3.576015e-16 7.984535e-16 7.450994e-15 6.457634e-16 7.617941e-16 1.793641e-16 3.494982e-16 1.450828e-16 1.169289e-16
187 3.504902e-16 7.899873e-16 7.297119e-15 6.377103e-16 7.458938e-16 1.765925e-16 3.437863e-16 1.426899e-16 1.151484e-16
188 3.437846e-16 7.817458e-16 7.147272e-15 6.298513e-16 7.304113e-16 1.738846e-16 3.382071e-16 1.403526e-16 1.134090e-16
