Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
148 1.434492e-15 1.833377e-15 7.023778e-16 8.645699e-16 6.120218e-17 4.229139e-16 5.715614e-17 5.345472e-17
149 1.397305e-15 1.792605e-15 6.841856e-16 8.437613e-16 5.960445e-17 4.126937e-16 5.567172e-17 5.207232e-17
150 1.361352e-15 1.753097e-15 6.665866e-16 8.236116e-16 5.805905e-17 4.027975e-16 5.423579e-17 5.073498e-17
151 1.326449e-15 1.714805e-15 6.495577e-16 8.040953e-16 5.656391e-17 3.932130e-16 5.284644e-17 4.944094e-17
152 1.292774e-15 1.677684e-15 6.330766e-16 7.851882e-16 5.511709e-17 3.839281e-16 5.150186e-17 4.818850e-17
153 1.260113e-15 1.641690e-15 6.171223e-16 7.668672e-16 5.371671e-17 3.749311e-16 5.020033e-17 4.697607e-17
154 1.228556e-15 1.606780e-15 6.016745e-16 7.491100e-16 5.236099e-17 3.662113e-16 4.894019e-17 4.580211e-17
155 1.197922e-15 1.572914e-15 5.867140e-16 7.318955e-16 5.104822e-17 3.577585e-16 4.771986e-17 4.466516e-17
156 1.168195e-15 1.540054e-15 5.722223e-16 7.152036e-16 4.977679e-17 3.495627e-16 4.653784e-17 4.356382e-17
157 1.139484e-15 1.508164e-15 5.581819e-16 6.990148e-16 4.854512e-17 3.416140e-16 4.539269e-17 4.249675e-17
158 1.111630e-15 1.477207e-15 5.445759e-16 6.833106e-16 4.735173e-17 3.339033e-16 4.428302e-17 4.146266e-17
159 1.084670e-15 1.447150e-15 5.313881e-16 6.680733e-16 4.619519e-17 3.264222e-16 4.320752e-17 4.046033e-17
160 1.058448e-15 1.417962e-15 5.186031e-16 6.532860e-16 4.507415e-17 3.191625e-16 4.216493e-17 3.948861e-17
161 1.033082e-15 1.389610e-15 5.062062e-16 6.389325e-16 4.398729e-17 3.121157e-16 4.115404e-17 3.854635e-17
162 1.008529e-15 1.362066e-15 4.941832e-16 6.249971e-16 4.293337e-17 3.052745e-16 4.017369e-17 3.763249e-17
163 9.845497e-16 1.335301e-15 4.825206e-16 6.114649e-16 4.191120e-17 2.986314e-16 3.922278e-17 3.674599e-17
164 9.614631e-16 1.309287e-15 4.712054e-16 5.983218e-16 4.091962e-17 2.921795e-16 3.830024e-17 3.588589e-17
165 9.390205e-16 1.284000e-15 4.602253e-16 5.855539e-16 3.995754e-17 2.859124e-16 3.740506e-17 3.505123e-17
166 9.171750e-16 1.259413e-15 4.495682e-16 5.731483e-16 3.902391e-17 2.798242e-16 3.653627e-17 3.424112e-17
167 8.961404e-16 1.235503e-15 4.392228e-16 5.610923e-16 3.811773e-17 2.739090e-16 3.569293e-17 3.345470e-17
168 8.755072e-16 1.212246e-15 4.291782e-16 5.493737e-16 3.723801e-17 2.681607e-16 3.487415e-17 3.269114e-17
169 8.555899e-16 1.189621e-15 4.194238e-16 5.379812e-16 3.638385e-17 2.625731e-16 3.407907e-17 3.194962e-17
170 8.362107e-16 1.167607e-15 4.099496e-16 5.269034e-16 3.555434e-17 2.571401e-16 3.330686e-17 3.122939e-17
171 8.174333e-16 1.146182e-15 4.007458e-16 5.161298e-16 3.474863e-17 2.518565e-16 3.255674e-17 3.052969e-17
172 7.991486e-16 1.125328e-15 3.918034e-16 5.056501e-16 3.396592e-17 2.467176e-16 3.182795e-17 2.984984e-17
173 7.813326e-16 1.105025e-15 3.831132e-16 4.954545e-16 3.320540e-17 2.417190e-16 3.111975e-17 2.918916e-17
174 7.640860e-16 1.085255e-15 3.746668e-16 4.855335e-16 3.246633e-17 2.368551e-16 3.043146e-17 2.854699e-17
175 7.472756e-16 1.066002e-15 3.664559e-16 4.758779e-16 3.174797e-17 2.321209e-16 2.976239e-17 2.792270e-17
176 7.309461e-16 1.047247e-15 3.584727e-16 4.664792e-16 3.104964e-17 2.275131e-16 2.911191e-17 2.731570e-17
177 7.150953e-16 1.028976e-15 3.507095e-16 4.573288e-16 3.037067e-17 2.230276e-16 2.847939e-17 2.672541e-17
178 6.996799e-16 1.011173e-15 3.431592e-16 4.484187e-16 2.971040e-17 2.186598e-16 2.786423e-17 2.615129e-17
179 6.845927e-16 9.938226e-16 3.358146e-16 4.397411e-16 2.906823e-17 2.144060e-16 2.726587e-17 2.559278e-17
