Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
83 6.734247e-15 5.582147e-15 2.025215e-14 3.111977e-15 1.795529e-15 1.540103e-15 1.138591e-15 8.298551e-16 5.364640e-16 5.169843e-16
84 6.428602e-15 5.345441e-15 1.930908e-14 2.975414e-15 1.711757e-15 1.472589e-15 1.086623e-15 7.923841e-16 5.127772e-16 4.941457e-16
85 6.139137e-15 5.121957e-15 1.842043e-14 2.846553e-15 1.632822e-15 1.408827e-15 1.037626e-15 7.570339e-16 4.904212e-16 4.725906e-16
86 5.865525e-15 4.910804e-15 1.758248e-14 2.724874e-15 1.558392e-15 1.348591e-15 9.913981e-16 7.236704e-16 4.693065e-16 4.522324e-16
87 5.607032e-15 4.711162e-15 1.679176e-14 2.609896e-15 1.488161e-15 1.291657e-15 9.477529e-16 6.921616e-16 4.493504e-16 4.329916e-16
88 5.362831e-15 4.522275e-15 1.604513e-14 2.501175e-15 1.421849e-15 1.237810e-15 9.065181e-16 6.623827e-16 4.304768e-16 4.147947e-16
89 5.131457e-15 4.343442e-15 1.533968e-14 2.398302e-15 1.359195e-15 1.186852e-15 8.675349e-16 6.342170e-16 4.126152e-16 3.975738e-16
90 4.912565e-15 4.174018e-15 1.467269e-14 2.300900e-15 1.299960e-15 1.138595e-15 8.306564e-16 6.075683e-16 3.957005e-16 3.812660e-16
91 4.705312e-15 4.013404e-15 1.404167e-14 2.208617e-15 1.243922e-15 1.092878e-15 7.957471e-16 5.823357e-16 3.796726e-16 3.658133e-16
92 4.508972e-15 3.861048e-15 1.344433e-14 2.121131e-15 1.190877e-15 1.049558e-15 7.626812e-16 5.584233e-16 3.644755e-16 3.511619e-16
93 4.322882e-15 3.716435e-15 1.287852e-14 2.038140e-15 1.140634e-15 1.008451e-15 7.313424e-16 5.357563e-16 3.500576e-16 3.372618e-16
94 4.146402e-15 3.579091e-15 1.234227e-14 1.959368e-15 1.093018e-15 9.694242e-16 7.016232e-16 5.142558e-16 3.363709e-16 3.240668e-16
95 3.978690e-15 3.448572e-15 1.183374e-14 1.884555e-15 1.047866e-15 9.323570e-16 6.734234e-16 4.938489e-16 3.233708e-16 3.115339e-16
