Ls TT TE TB EE EB EB_gmv TEB_gmv
136 9.794145e-16 1.085284e-15 9.776329e-15 5.350030e-16 1.961990e-16 1.435541e-16 1.188243e-16
137 9.524587e-16 1.061821e-15 9.495226e-15 5.219239e-16 1.905691e-16 1.395980e-16 1.155983e-16
138 9.264465e-16 1.039142e-15 9.224175e-15 5.092852e-16 1.851405e-16 1.357804e-16 1.124846e-16
139 9.013383e-16 1.017214e-15 8.962749e-15 4.970689e-16 1.799048e-16 1.320953e-16 1.094785e-16
140 8.770961e-16 9.960079e-16 8.710539e-15 4.852573e-16 1.748536e-16 1.285375e-16 1.065755e-16
141 8.536839e-16 9.754941e-16 8.467159e-15 4.738342e-16 1.699792e-16 1.251015e-16 1.037712e-16
142 8.310675e-16 9.556453e-16 8.232240e-15 4.627837e-16 1.652744e-16 1.217822e-16 1.010616e-16
143 8.092143e-16 9.364351e-16 8.005429e-15 4.520909e-16 1.607320e-16 1.185750e-16 9.844290e-17
144 7.880932e-16 9.178386e-16 7.786396e-15 4.417413e-16 1.563453e-16 1.154752e-16 9.591134e-17
145 7.676745e-16 8.998320e-16 7.574819e-15 4.317216e-16 1.521079e-16 1.124785e-16 9.346341e-17
146 7.479302e-16 8.823927e-16 7.370398e-15 4.220185e-16 1.480139e-16 1.095808e-16 9.109578e-17
147 7.288333e-16 8.654986e-16 7.172843e-15 4.126198e-16 1.440575e-16 1.067781e-16 8.880518e-17
148 7.103581e-16 8.491291e-16 6.981877e-15 4.035137e-16 1.402329e-16 1.040667e-16 8.658875e-17
149 6.924803e-16 8.332648e-16 6.797242e-15 3.946888e-16 1.365352e-16 1.014429e-16 8.444341e-17
150 6.751765e-16 8.178868e-16 6.618684e-15 3.861344e-16 1.329592e-16 9.890339e-17 8.236650e-17
151 6.584245e-16 8.029767e-16 6.445967e-15 3.778403e-16 1.295002e-16 9.644483e-17 8.035537e-17
152 6.422030e-16 7.885165e-16 6.278860e-15 3.697964e-16 1.261535e-16 9.406416e-17 7.840736e-17
