Ls T E B
240 4.019829e-17 3.514347e-18 3.308110e-18
241 3.765829e-17 3.498314e-18 3.292548e-18
242 3.527876e-17 3.482415e-18 3.277121e-18
243 3.304960e-17 3.466651e-18 3.261828e-18
244 3.096125e-17 3.451022e-18 3.246670e-18
245 2.900483e-17 3.435514e-18 3.231646e-18
246 2.717212e-17 3.420140e-18 3.216744e-18
247 2.545518e-17 3.404888e-18 3.201976e-18
248 2.384675e-17 3.389770e-18 3.187343e-18
249 2.233995e-17 3.374760e-18 3.172818e-18
250 2.092833e-17 3.359885e-18 3.158427e-18
251 1.960597e-17 3.345130e-18 3.144157e-18
252 1.836707e-17 3.330484e-18 3.129995e-18
253 1.720651e-17 3.315958e-18 3.115968e-18
254 1.611933e-17 3.301554e-18 3.102048e-18
255 1.510080e-17 3.287271e-18 3.088250e-18
256 1.414661e-17 3.273096e-18 3.074559e-18
257 1.325267e-17 3.259028e-18 3.060989e-18
258 1.241527e-17 3.245068e-18 3.047527e-18
259 1.163078e-17 3.231229e-18 3.034173e-18
260 1.089586e-17 3.217498e-18 3.020940e-18
261 1.020738e-17 3.203861e-18 3.007801e-18
262 9.562406e-18 3.190345e-18 2.994783e-18
263 8.958180e-18 3.176923e-18 2.981860e-18
264 8.392133e-18 3.163610e-18 2.969044e-18
265 7.861853e-18 3.150403e-18 2.956336e-18
266 7.365081e-18 3.137305e-18 2.943736e-18
267 6.899702e-18 3.124287e-18 2.931230e-18
268 6.463737e-18 3.111391e-18 2.918818e-18
269 6.055301e-18 3.098575e-18 2.906513e-18
270 5.672686e-18 3.085867e-18 2.894303e-18
271 5.314249e-18 3.073253e-18 2.882188e-18
272 4.978454e-18 3.060733e-18 2.870166e-18
273 4.663875e-18 3.048308e-18 2.858252e-18
274 4.369180e-18 3.035977e-18 2.846419e-18
275 4.093103e-18 3.023727e-18 2.834681e-18
276 3.834472e-18 3.011584e-18 2.823036e-18
277 3.592170e-18 2.999522e-18 2.811486e-18
278 3.365202e-18 2.987554e-18 2.800016e-18
